route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
74,20110916,7430916111,To Bremerton,,,74
74,20110916,74309161110,To Bremerton,,,74
74,20110916,74309161111,To Bremerton,,,74
74,20110916,74309161112,To Bremerton,,,74
74,20110916,74309161113,To Bremerton,,,74
74,20110916,74309161114,To Bremerton,,,74
74,20110916,7430916112,To Bremerton,,,74
74,20110916,7430916113,To Bremerton,,,74
74,20110916,7430916114,To Bremerton,,,74
74,20110916,7430916115,To Bremerton,,,74
74,20110916,7430916116,To Bremerton,,,74
74,20110916,7430916117,To Bremerton,,,74
74,20110916,7430916118,To Bremerton,,,74
74,20110916,7430916119,To Bremerton,,,74
812,20110916,81260916110,To Kingston,,,812
812,20110916,81260916111,To Kingston,,,812
812,20110916,812609161110,To Kingston,,,812
812,20110916,812609161111,To Kingston,,,812
812,20110916,812609161112,To Kingston,,,812
812,20110916,812609161113,To Kingston,,,812
812,20110916,812609161114,To Kingston,,,812
812,20110916,812609161115,To Kingston,,,812
812,20110916,812609161116,To Kingston,,,812
812,20110916,812609161117,To Kingston,,,812
812,20110916,812609161118,To Kingston,,,812
812,20110916,812609161119,To Kingston,,,812
812,20110916,81260916112,To Kingston,,,812
812,20110916,812609161120,To Kingston,,,812
812,20110916,812609161121,To Kingston,,,812
812,20110916,812609161122,To Kingston,,,812
812,20110916,812609161123,To Kingston,,,812
812,20110916,812609161124,To Kingston,,,812
812,20110916,812609161125,To Kingston,,,812
812,20110916,81260916113,To Kingston,,,812
812,20110916,81260916114,To Kingston,,,812
812,20110916,81260916115,To Kingston,,,812
812,20110916,81260916116,To Kingston,,,812
812,20110916,81260916117,To Kingston,,,812
812,20110916,81260916118,To Kingston,,,812
812,20110916,81260916119,To Kingston,,,812
920,20110916,920130916110,To Southworth,,,920
920,20110916,920130916111,To Southworth,,,920
920,20110916,9201309161110,To Southworth,,,920
920,20110916,9201309161111,To Southworth,,,920
920,20110916,9201309161112,To Southworth,,,920
920,20110916,9201309161113,To Southworth,,,920
920,20110916,9201309161114,To Southworth,,,920
920,20110916,9201309161115,To Southworth,,,920
920,20110916,9201309161116,To Southworth,,,920
920,20110916,9201309161117,To Southworth,,,920
920,20110916,9201309161118,To Southworth,,,920
920,20110916,9201309161119,To Southworth,,,920
920,20110916,920130916112,To Southworth,,,920
920,20110916,9201309161120,To Southworth,,,920
920,20110916,9201309161121,To Southworth,,,920
920,20110916,9201309161122,To Southworth,,,920
920,20110916,9201309161123,To Southworth,,,920
920,20110916,9201309161124,To Southworth,,,920
920,20110916,9201309161125,To Southworth,,,920
920,20110916,920130916113,To Southworth,,,920
920,20110916,920130916114,To Southworth,,,920
920,20110916,920130916115,To Southworth,,,920
920,20110916,920130916116,To Southworth,,,920
920,20110916,920130916117,To Southworth,,,920
920,20110916,920130916118,To Southworth,,,920
920,20110916,920130916119,To Southworth,,,920
922,20110916,922140916110,To Vashon Island,,,922
922,20110916,922140916111,To Vashon Island,,,922
922,20110916,9221409161110,To Vashon Island,,,922
922,20110916,9221409161111,To Vashon Island,,,922
922,20110916,9221409161112,To Vashon Island,,,922
922,20110916,9221409161113,To Vashon Island,,,922
922,20110916,9221409161114,To Vashon Island,,,922
922,20110916,9221409161115,To Vashon Island,,,922
922,20110916,9221409161116,To Vashon Island,,,922
922,20110916,9221409161117,To Vashon Island,,,922
922,20110916,9221409161118,To Vashon Island,,,922
922,20110916,9221409161119,To Vashon Island,,,922
922,20110916,922140916112,To Vashon Island,,,922
922,20110916,9221409161120,To Vashon Island,,,922
922,20110916,9221409161121,To Vashon Island,,,922
922,20110916,9221409161122,To Vashon Island,,,922
922,20110916,9221409161123,To Vashon Island,,,922
922,20110916,9221409161124,To Vashon Island,,,922
922,20110916,9221409161125,To Vashon Island,,,922
922,20110916,9221409161126,To Vashon Island,,,922
922,20110916,9221409161127,To Vashon Island,,,922
922,20110916,9221409161128,To Vashon Island,,,922
922,20110916,9221409161129,To Vashon Island,,,922
922,20110916,922140916113,To Vashon Island,,,922
922,20110916,9221409161130,To Vashon Island,,,922
922,20110916,9221409161131,To Vashon Island,,,922
922,20110916,9221409161132,To Vashon Island,,,922
922,20110916,922140916114,To Vashon Island,,,922
922,20110916,922140916115,To Vashon Island,,,922
922,20110916,922140916116,To Vashon Island,,,922
922,20110916,922140916117,To Vashon Island,,,922
922,20110916,922140916118,To Vashon Island,,,922
922,20110916,922140916119,To Vashon Island,,,922
101,20110917,10190917110,To Anacortes,,,101
101,20110917,10190917111,To Anacortes,,,101
101,20110917,10190917112,To Anacortes,,,101
101,20110917,10190917113,To Anacortes,,,101
101,20110917,10190917114,To Anacortes,,,101
101,20110917,10190917115,To Anacortes,,,101
101,20110917,10190917116,To Anacortes,,,101
